average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.005,0.44781997507291793,0.0015047337418419456,0.21937321937321938,0.02467308842690709,0.2153586684811958,0.05396609935689745
macro,0.01,0.4553281796312936,0.004949280750313815,0.27635327635327633,0.035584034178908236,0.2914271231407058,0.044510800298982495
macro,0.02,0.4531030231125728,0.0009817701030541382,0.2849002849002849,0.05494957698571486,0.3079950842036571,0.06718368082382357
macro,0.05,0.4658626094084047,0.011553496930918507,0.5270655270655271,0.004934617685381391,0.47429676574562823,0.002387166616492124
macro,0.1,0.4850331147792182,0.01589188992918483,0.5811965811965812,0.0,0.4707548575904002,0.00818729926688531
macro,0.15,0.47509542350203704,0.014111656515740364,0.5327635327635328,0.017792017089454208,0.4676643632466025,0.0032010307479442292
macro,0.2,0.47119659702782624,0.017865672924795458,0.5413105413105413,0.04385984136279393,0.4787472105773887,0.017136362882359448
macro,0.3,0.4849127025448989,0.0034276038592755977,0.5897435897435898,0.008547008547008517,0.4719059535404327,0.009363099051990486
weighted_by_test_n,0.005,0.44781997507291793,0.0015047337418418977,0.21937321937321938,0.02467308842690709,0.2153586684811958,0.05396609935689745
weighted_by_test_n,0.01,0.4553281796312936,0.004949280750313815,0.27635327635327633,0.035584034178908236,0.2914271231407058,0.044510800298982495
weighted_by_test_n,0.02,0.4531030231125728,0.0009817701030541382,0.2849002849002849,0.05494957698571486,0.3079950842036571,0.06718368082382357
weighted_by_test_n,0.05,0.4658626094084047,0.0115534969309185,0.5270655270655271,0.004934617685381391,0.47429676574562823,0.002387166616492124
weighted_by_test_n,0.1,0.4850331147792182,0.01589188992918483,0.5811965811965812,0.0,0.4707548575904002,0.00818729926688531
weighted_by_test_n,0.15,0.47509542350203704,0.014111656515740364,0.5327635327635328,0.017792017089454208,0.4676643632466025,0.0032010307479442292
weighted_by_test_n,0.2,0.47119659702782624,0.017865672924795458,0.5413105413105413,0.04385984136279393,0.4787472105773887,0.017136362882359448
weighted_by_test_n,0.3,0.4849127025448989,0.0034276038592755977,0.5897435897435898,0.008547008547008517,0.4719059535404327,0.009363099051990486
