accuracy,f1_weighted,auroc,n_eval,organ,fewshot_frac,seed,n_train
0.20512820512820512,0.18532673145152914,0.44666037472362224,117,breast,0.005,42,6
0.20512820512820512,0.1830893121215702,0.4472791866048103,117,breast,0.005,43,6
0.24786324786324787,0.27765996187048814,0.4495203638903213,117,breast,0.005,44,6
0.24786324786324787,0.24684358883722618,0.4525636662021954,117,breast,0.01,42,8
0.3162393162393162,0.33586483111720494,0.4610421195141594,117,breast,0.01,43,8
0.26495726495726496,0.2915729494676863,0.45237875317752585,117,breast,0.01,44,8
0.2222222222222222,0.23079722871265457,0.45258717114118374,117,breast,0.02,42,12
0.3076923076923077,0.33995960920813345,0.4542351888210902,117,breast,0.02,43,12
0.3247863247863248,0.35322841469018323,0.4524867093754444,117,breast,0.02,44,12
0.5299145299145299,0.472918534456996,0.4743027860866202,117,breast,0.05,42,29
0.5213675213675214,0.47705322832289265,0.47058991479949147,117,breast,0.05,43,29
0.5299145299145299,0.472918534456996,0.45269512733910244,117,breast,0.05,44,29
0.5811965811965812,0.4798258866055476,0.49449165526318173,117,breast,0.1,42,56
0.5811965811965812,0.46852568081618357,0.4939220005965656,117,breast,0.1,43,56
0.5811965811965812,0.46391300534946944,0.4666856884779073,117,breast,0.1,44,56
0.5384615384615384,0.4639979863403654,0.47816258156036406,117,breast,0.15,42,83
0.5470085470085471,0.4690915244403617,0.48742125483919746,117,breast,0.15,43,83
0.5128205128205128,0.4699035789590804,0.4597024341065496,117,breast,0.15,44,83
0.5897435897435898,0.4660660957671565,0.4897687884431326,117,breast,0.2,42,110
0.5042735042735043,0.4719330377225114,0.4696878754644896,117,breast,0.2,43,110
0.5299145299145299,0.49824249824249833,0.4541331271758564,117,breast,0.2,44,110
0.5811965811965812,0.463506004942469,0.4875233164844312,117,breast,0.3,42,165
0.5897435897435898,0.4820006942911971,0.4861836310768212,117,breast,0.3,43,165
0.5982905982905983,0.47021116138763197,0.4810311600734441,117,breast,0.3,44,165
