average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.7322561754643169,0.5470085470085471,0.5506969881969882,BiomedCLIP,fewshot_e2e,0.05,42
weighted_by_test_n,1,0.7322561754643169,0.5470085470085471,0.5506969881969882,BiomedCLIP,fewshot_e2e,0.05,42
macro,1,0.9095554118053375,0.7692307692307693,0.7580193086265961,BiomedCLIP,fewshot_e2e,0.1,42
weighted_by_test_n,1,0.9095554118053375,0.7692307692307693,0.7580193086265961,BiomedCLIP,fewshot_e2e,0.1,42
macro,1,0.5379120760122772,0.5897435897435898,0.5024898022869626,CLIP +Img Enc (LLM),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.5379120760122772,0.5897435897435898,0.5024898022869626,CLIP +Img Enc (LLM),fewshot_e2e,0.01,42
macro,1,0.7959154086902748,0.6581196581196581,0.6504501680153292,CLIP +Img Enc (LLM),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.7959154086902748,0.6581196581196581,0.6504501680153292,CLIP +Img Enc (LLM),fewshot_e2e,0.05,42
macro,1,0.8194957056824282,0.717948717948718,0.6864015984267179,CLIP +Img Enc (LLM),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.8194957056824282,0.717948717948718,0.6864015984267179,CLIP +Img Enc (LLM),fewshot_e2e,0.1,42
macro,1,0.742766801693624,0.5641025641025641,0.47441966986559025,CLIP +Img Enc (std),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.742766801693624,0.5641025641025641,0.47441966986559025,CLIP +Img Enc (std),fewshot_e2e,0.01,42
macro,1,0.7822071554697024,0.6324786324786325,0.6320877927764585,CLIP +Img Enc (std),fewshot_e2e,0.05,42
weighted_by_test_n,1,0.7822071554697024,0.6324786324786325,0.6320877927764585,CLIP +Img Enc (std),fewshot_e2e,0.05,42
macro,1,0.7565957825956725,0.6581196581196581,0.6535141271983377,CLIP +Img Enc (std),fewshot_e2e,0.1,42
weighted_by_test_n,1,0.7565957825956725,0.6581196581196581,0.6535141271983377,CLIP +Img Enc (std),fewshot_e2e,0.1,42
macro,1,0.696450448361948,0.5470085470085471,0.4345104213525266,CLIP +Txt Enc (LLM),fewshot_e2e,0.01,42
weighted_by_test_n,1,0.696450448361948,0.5470085470085471,0.4345104213525266,CLIP +Txt Enc (LLM),fewshot_e2e,0.01,42
macro,1,0.633618459606908,0.5641025641025641,0.45316789825460346,CLIP +Txt Enc (LLM),fewshot_e2e,0.05,42
