,alignment,cross_alignment,zero_shot_acc,i2t_r@1,t2i_r@1,i2t_r@5,t2i_r@5,i2t_r@10,t2i_r@10,i2t_mean_rank,t2i_mean_rank,linear_probe_auroc,linear_probe_acc
Exp 1,0.5853563547134399,0.5598128437995911,0.46153846153846156,0.017094017094017096,0.0,0.09401709401709402,0.06837606837606838,0.1452991452991453,0.1282051282051282,43.43589743589744,47.01709401709402,0.8241442796397243,0.7008547008547008
Exp 2,0.6856114268302917,0.6664496064186096,0.5128205128205128,0.017094017094017096,0.008547008547008548,0.10256410256410256,0.11965811965811966,0.1794871794871795,0.19658119658119658,44.1965811965812,44.05982905982906,0.7342193392217572,0.6068376068376068
Exp 3,0.6795780062675476,0.6523736715316772,0.5384615384615384,0.03418803418803419,0.017094017094017096,0.1111111111111111,0.09401709401709402,0.17094017094017094,0.1794871794871795,44.73504273504273,45.623931623931625,0.8257632796734776,0.6666666666666666
Exp 4,0.500277042388916,0.5002270936965942,0.2564102564102564,0.008547008547008548,0.008547008547008548,0.042735042735042736,0.042735042735042736,0.10256410256410256,0.1111111111111111,58.48717948717949,58.8034188034188,0.730958541089238,0.5555555555555556
Exp 5,0.13406933844089508,0.12825576961040497,0.5213675213675214,0.017094017094017096,0.008547008547008548,0.08547008547008547,0.05128205128205128,0.1111111111111111,0.1111111111111111,55.14529914529915,55.376068376068375,0.8770925943696987,0.7264957264957265
Exp 6,0.033163756132125854,0.030198287218809128,0.5555555555555556,0.008547008547008548,0.008547008547008548,0.03418803418803419,0.05128205128205128,0.09401709401709402,0.09401709401709402,54.94871794871795,55.41880341880342,0.805832047815786,0.7264957264957265
Exp 7,0.09408668428659439,0.06155328080058098,0.6495726495726496,0.008547008547008548,0.017094017094017096,0.07692307692307693,0.08547008547008547,0.15384615384615385,0.15384615384615385,43.12820512820513,40.64957264957265,0.8782302226147188,0.7264957264957265
Exp 8,0.12356041371822357,0.0782933309674263,0.5897435897435898,0.008547008547008548,0.008547008547008548,0.05982905982905983,0.07692307692307693,0.13675213675213677,0.17094017094017094,44.794871794871796,41.27350427350427,0.7989408592547494,0.6239316239316239
