accuracy,f1_weighted,auroc,n_eval,organ,fewshot_frac,seed,n_train
0.5897435897435898,0.6041009590305364,0.7753168673182117,117,breast,0.005,42,6
0.5641025641025641,0.5785500450719294,0.769576772840125,117,breast,0.005,43,6
0.6068376068376068,0.6355206996232636,0.7636869861099758,117,breast,0.005,44,6
0.717948717948718,0.705548133910707,0.7734279056957366,117,breast,0.01,42,8
0.6923076923076923,0.6745312430597322,0.7489830347458167,117,breast,0.01,43,8
0.6581196581196581,0.6736911761734455,0.7599517780698116,117,breast,0.01,44,8
0.7350427350427351,0.6993254924878857,0.7702660262665271,117,breast,0.02,42,12
0.7094017094017094,0.6854319684508363,0.7588970357590693,117,breast,0.02,43,12
0.717948717948718,0.7125346805797933,0.7638211420405789,117,breast,0.02,44,12
0.7264957264957265,0.6897173719259608,0.7698327481388607,117,breast,0.05,42,29
0.7350427350427351,0.7104364652441575,0.7661632127853704,117,breast,0.05,43,29
0.6837606837606838,0.6928030888541923,0.7607058407958047,117,breast,0.05,44,29
0.7264957264957265,0.6857181804550225,0.7692031995746964,117,breast,0.1,42,56
0.7435897435897436,0.7191471571906354,0.7706923881990582,117,breast,0.1,43,56
0.7264957264957265,0.6999428547270949,0.7574002252271036,117,breast,0.1,44,56
0.7094017094017094,0.6838656086737929,0.7764338823902168,117,breast,0.15,42,83
0.717948717948718,0.6998674271299394,0.75705339915146,117,breast,0.15,43,83
0.7350427350427351,0.7091999787651961,0.7699683881853986,117,breast,0.15,44,83
0.6923076923076923,0.6630970100029221,0.767999501504303,117,breast,0.2,42,110
0.6837606837606838,0.6432022655706866,0.7534239691926764,117,breast,0.2,43,110
0.7606837606837606,0.750222660692509,0.779279217690617,117,breast,0.2,44,110
0.717948717948718,0.6906948344284014,0.7653286775436557,117,breast,0.3,42,165
0.7008547008547008,0.6751192796026038,0.765365814125739,117,breast,0.3,43,165
0.7350427350427351,0.7228484776871874,0.7833067592081336,117,breast,0.3,44,165
