average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.01,0.5994577548339823,0.06901416525006031,0.5162393162393162,0.08874083659772584,0.5220557668247292,0.06519136843832382
macro,0.05,0.6973601863286891,0.03609136544216629,0.5846153846153845,0.012962180246241968,0.5914629981209565,0.012463732880710508
macro,0.1,0.7067624088992086,0.013218939884539493,0.5931623931623932,0.029975517806410567,0.6005341786665412,0.02921958760168816
weighted_by_test_n,0.01,0.5994577548339823,0.06901416525006031,0.5162393162393162,0.08874083659772584,0.5220557668247292,0.06519136843832382
weighted_by_test_n,0.05,0.6973601863286891,0.03609136544216629,0.5846153846153845,0.012962180246241968,0.5914629981209565,0.012463732880710508
weighted_by_test_n,0.1,0.7067624088992086,0.013218939884539493,0.5931623931623932,0.029975517806410567,0.6005341786665412,0.02921958760168816
