model,setting,fewshot_frac,seed,organ,dataset,direction,n_retrieval_pairs,n_train_support,best_val_f1_weighted,R@1,R@5,R@10
CLIP LLM | MLP heads only,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.45094155080412524,0.009009009009009009,0.02702702702702703,0.06306306306306306
CLIP LLM | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.009009009009009009,0.05405405405405406,0.09009009009009009
CLIP LLM | MLP heads only,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.0,0.04504504504504504,0.06306306306306306
CLIP LLM | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.49304644450275514,0.009009009009009009,0.04504504504504504,0.08108108108108109
CLIP LLM | MLP heads only,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.49304644450275514,0.009009009009009009,0.02702702702702703,0.09009009009009009
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.5932557944941848,0.009009009009009009,0.04504504504504504,0.0990990990990991
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.5932557944941848,0.009009009009009009,0.05405405405405406,0.09009009009009009
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.6357481999373892,0.009009009009009009,0.05405405405405406,0.13513513513513514
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.6357481999373892,0.009009009009009009,0.06306306306306306,0.11711711711711711
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.6411448303340196,0.0,0.04504504504504504,0.06306306306306306
CLIP LLM | MLP + image encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.6411448303340196,0.0,0.06306306306306306,0.09009009009009009
CLIP LLM | MLP + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.5756237006237007,0.009009009009009009,0.04504504504504504,0.08108108108108109
CLIP LLM | MLP + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.5756237006237007,0.009009009009009009,0.08108108108108109,0.11711711711711711
CLIP LLM | MLP + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,I2T,111,27,0.44342647732478246,0.0,0.04504504504504504,0.09009009009009009
CLIP LLM | MLP + text encoder,fewshot_retrieval,0.05,42,liver,liver_holdout,T2I,111,27,0.44342647732478246,0.0,0.05405405405405406,0.08108108108108109
CLIP LLM | MLP + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,I2T,111,52,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP LLM | MLP + text encoder,fewshot_retrieval,0.1,42,liver,liver_holdout,T2I,111,52,0.44342647732478246,0.0,0.05405405405405406,0.09009009009009009
CLIP LLM | MLP + image + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,I2T,111,8,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
CLIP LLM | MLP + image + text encoder,fewshot_retrieval,0.01,42,liver,liver_holdout,T2I,111,8,0.44342647732478246,0.009009009009009009,0.04504504504504504,0.09009009009009009
