model,image_to_text_R@1,image_to_text_R@5,image_to_text_R@10,text_to_image_R@1,text_to_image_R@5,text_to_image_R@10
MLP heads only,0.006802721088435374,0.024489795918367346,0.04353741496598639,0.006802721088435374,0.02857142857142857,0.04353741496598639
MLP + image encoder,0.005442176870748299,0.01904761904761905,0.047619047619047616,0.004081632653061225,0.021768707482993196,0.04217687074829932
MLP + text encoder,0.004081632653061225,0.017687074829931974,0.0326530612244898,0.009523809523809525,0.017687074829931974,0.050340136054421766
BiomedCLIP,0.0013605442176870747,0.006802721088435374,0.0163265306122449,0.004081632653061225,0.009523809523809525,0.02040816326530612
OpenAI CLIP,0.0,0.006802721088435374,0.010884353741496598,0.0,0.005442176870748299,0.02040816326530612
