model,fewshot_frac,dataset,direction,R1_mean,R1_std,R5_mean,R5_std,R10_mean,R10_std,n_pairs_mean
BiomedCLIP,0.01,liver_holdout,T2I,0.009009009009009009,,0.05405405405405406,,0.10810810810810811,,111.0
BiomedCLIP,0.05,liver_holdout,I2T,0.02702702702702703,,0.04504504504504504,,0.0990990990990991,,111.0
BiomedCLIP,0.05,liver_holdout,T2I,0.009009009009009009,,0.06306306306306306,,0.11711711711711711,,111.0
BiomedCLIP,0.1,liver_holdout,I2T,0.018018018018018018,,0.08108108108108109,,0.12612612612612611,,111.0
BiomedCLIP,0.1,liver_holdout,T2I,0.009009009009009009,,0.06306306306306306,,0.11711711711711711,,111.0
CLIP LLM | MLP + image + text encoder,0.01,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP LLM | MLP + image + text encoder,0.01,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP LLM | MLP + image + text encoder,0.05,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.08108108108108109,,111.0
CLIP LLM | MLP + image + text encoder,0.05,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP LLM | MLP + image + text encoder,0.1,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP LLM | MLP + image + text encoder,0.1,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP LLM | MLP + image encoder,0.01,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.0990990990990991,,111.0
CLIP LLM | MLP + image encoder,0.01,liver_holdout,T2I,0.009009009009009009,,0.05405405405405406,,0.09009009009009009,,111.0
CLIP LLM | MLP + image encoder,0.05,liver_holdout,I2T,0.009009009009009009,,0.05405405405405406,,0.13513513513513514,,111.0
CLIP LLM | MLP + image encoder,0.05,liver_holdout,T2I,0.009009009009009009,,0.06306306306306306,,0.11711711711711711,,111.0
CLIP LLM | MLP + image encoder,0.1,liver_holdout,I2T,0.0,,0.04504504504504504,,0.06306306306306306,,111.0
CLIP LLM | MLP + image encoder,0.1,liver_holdout,T2I,0.0,,0.06306306306306306,,0.09009009009009009,,111.0
CLIP LLM | MLP + text encoder,0.01,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.08108108108108109,,111.0
CLIP LLM | MLP + text encoder,0.01,liver_holdout,T2I,0.009009009009009009,,0.08108108108108109,,0.11711711711711711,,111.0
CLIP LLM | MLP + text encoder,0.05,liver_holdout,I2T,0.0,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP LLM | MLP + text encoder,0.05,liver_holdout,T2I,0.0,,0.05405405405405406,,0.08108108108108109,,111.0
CLIP LLM | MLP + text encoder,0.1,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP LLM | MLP + text encoder,0.1,liver_holdout,T2I,0.0,,0.05405405405405406,,0.09009009009009009,,111.0
CLIP LLM | MLP heads only,0.01,liver_holdout,I2T,0.0,,0.036036036036036036,,0.08108108108108109,,111.0
CLIP LLM | MLP heads only,0.01,liver_holdout,T2I,0.009009009009009009,,0.02702702702702703,,0.06306306306306306,,111.0
CLIP LLM | MLP heads only,0.05,liver_holdout,I2T,0.009009009009009009,,0.05405405405405406,,0.09009009009009009,,111.0
CLIP LLM | MLP heads only,0.05,liver_holdout,T2I,0.0,,0.04504504504504504,,0.06306306306306306,,111.0
CLIP LLM | MLP heads only,0.1,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.08108108108108109,,111.0
CLIP LLM | MLP heads only,0.1,liver_holdout,T2I,0.009009009009009009,,0.02702702702702703,,0.09009009009009009,,111.0
CLIP standard | MLP + image + text encoder,0.01,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.08108108108108109,,111.0
CLIP standard | MLP + image + text encoder,0.01,liver_holdout,T2I,0.009009009009009009,,0.05405405405405406,,0.09009009009009009,,111.0
CLIP standard | MLP + image + text encoder,0.05,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP standard | MLP + image + text encoder,0.05,liver_holdout,T2I,0.009009009009009009,,0.05405405405405406,,0.09009009009009009,,111.0
CLIP standard | MLP + image + text encoder,0.1,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.0990990990990991,,111.0
CLIP standard | MLP + image + text encoder,0.1,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.08108108108108109,,111.0
CLIP standard | MLP + image encoder,0.01,liver_holdout,I2T,0.018018018018018018,,0.10810810810810811,,0.21621621621621623,,111.0
CLIP standard | MLP + image encoder,0.01,liver_holdout,T2I,0.018018018018018018,,0.11711711711711711,,0.1891891891891892,,111.0
CLIP standard | MLP + image encoder,0.05,liver_holdout,I2T,0.009009009009009009,,0.06306306306306306,,0.14414414414414414,,111.0
CLIP standard | MLP + image encoder,0.05,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.0990990990990991,,111.0
CLIP standard | MLP + image encoder,0.1,liver_holdout,I2T,0.02702702702702703,,0.09009009009009009,,0.1981981981981982,,111.0
CLIP standard | MLP + image encoder,0.1,liver_holdout,T2I,0.036036036036036036,,0.07207207207207207,,0.11711711711711711,,111.0
CLIP standard | MLP + text encoder,0.01,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP standard | MLP + text encoder,0.01,liver_holdout,T2I,0.009009009009009009,,0.0990990990990991,,0.17117117117117117,,111.0
CLIP standard | MLP + text encoder,0.05,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP standard | MLP + text encoder,0.05,liver_holdout,T2I,0.02702702702702703,,0.06306306306306306,,0.14414414414414414,,111.0
CLIP standard | MLP + text encoder,0.1,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.0990990990990991,,111.0
CLIP standard | MLP + text encoder,0.1,liver_holdout,T2I,0.018018018018018018,,0.08108108108108109,,0.13513513513513514,,111.0
CLIP standard | MLP heads only,0.01,liver_holdout,I2T,0.009009009009009009,,0.05405405405405406,,0.09009009009009009,,111.0
CLIP standard | MLP heads only,0.01,liver_holdout,T2I,0.009009009009009009,,0.036036036036036036,,0.11711711711711711,,111.0
CLIP standard | MLP heads only,0.05,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP standard | MLP heads only,0.05,liver_holdout,T2I,0.0,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP standard | MLP heads only,0.1,liver_holdout,I2T,0.009009009009009009,,0.04504504504504504,,0.09009009009009009,,111.0
CLIP standard | MLP heads only,0.1,liver_holdout,T2I,0.018018018018018018,,0.07207207207207207,,0.0990990990990991,,111.0
OpenAI CLIP,0.01,liver_holdout,I2T,0.009009009009009009,,0.05405405405405406,,0.14414414414414414,,111.0
OpenAI CLIP,0.01,liver_holdout,T2I,0.009009009009009009,,0.05405405405405406,,0.11711711711711711,,111.0
OpenAI CLIP,0.05,liver_holdout,I2T,0.018018018018018018,,0.06306306306306306,,0.16216216216216217,,111.0
OpenAI CLIP,0.05,liver_holdout,T2I,0.036036036036036036,,0.10810810810810811,,0.17117117117117117,,111.0
OpenAI CLIP,0.1,liver_holdout,I2T,0.009009009009009009,,0.05405405405405406,,0.11711711711711711,,111.0
OpenAI CLIP,0.1,liver_holdout,T2I,0.009009009009009009,,0.04504504504504504,,0.11711711711711711,,111.0
