average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.005,0.7794128730115798,0.0103770776313041,0.6410256410256411,0.04758772959683778,0.642181429764279,0.05040001584137814
macro,0.01,0.7826065948726623,0.006221677722203252,0.6752136752136751,0.025641025641025633,0.6489584163209794,0.029871362862290803
macro,0.02,0.7825797037850298,0.005291286898628617,0.6780626780626781,0.03558403417890825,0.6603470506044266,0.034131545326009635
macro,0.05,0.7774894320775795,0.014277028090773034,0.6866096866096866,0.05428079453919557,0.6554393230377391,0.05253862538934528
macro,0.1,0.7803214210785082,0.0029945987181622014,0.6894586894586894,0.02747478849285742,0.6542704752731409,0.025839002887436333
macro,0.15,0.7795875582225209,0.006961962775462073,0.6809116809116809,0.02150949981558615,0.6567865215619991,0.020513580726355368
macro,0.2,0.7674197309480908,0.007004408224877984,0.6780626780626781,0.004934617685381415,0.6547948190681158,0.01614117834882753
macro,0.3,0.776496611333466,0.008849952988410424,0.6723646723646723,0.038540596177973445,0.6454061764652623,0.05136592212233931
weighted_by_test_n,0.005,0.7794128730115798,0.0103770776313041,0.6410256410256411,0.04758772959683778,0.642181429764279,0.05040001584137814
weighted_by_test_n,0.01,0.7826065948726623,0.006221677722203252,0.6752136752136751,0.025641025641025633,0.6489584163209794,0.029871362862290803
weighted_by_test_n,0.02,0.7825797037850298,0.005291286898628617,0.6780626780626781,0.03558403417890825,0.6603470506044266,0.034131545326009635
weighted_by_test_n,0.05,0.7774894320775796,0.014277028090773039,0.6866096866096866,0.05428079453919557,0.6554393230377391,0.05253862538934528
weighted_by_test_n,0.1,0.7803214210785082,0.0029945987181622035,0.6894586894586894,0.02747478849285742,0.6542704752731409,0.025839002887436333
weighted_by_test_n,0.15,0.7795875582225209,0.006961962775462022,0.6809116809116809,0.02150949981558615,0.6567865215619991,0.020513580726355368
weighted_by_test_n,0.2,0.7674197309480908,0.007004408224877984,0.6780626780626781,0.004934617685381415,0.6547948190681158,0.01614117834882753
weighted_by_test_n,0.3,0.776496611333466,0.008849952988410424,0.6723646723646723,0.038540596177973445,0.6454061764652623,0.05136592212233931
