average_type,n_organs,auroc,accuracy,f1_weighted,model,setting,fewshot_frac,seed
macro,1,0.6764683875794987,0.6036036036036037,0.6096301420765172,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.6764683875794987,0.6036036036036037,0.6096301420765172,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,42
macro,1,0.6719291682254646,0.5315315315315315,0.533188850230894,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.6719291682254646,0.5315315315315315,0.533188850230894,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,43
macro,1,0.6088976181568774,0.4594594594594595,0.47747747747747743,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.6088976181568774,0.4594594594594595,0.47747747747747743,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,44
macro,1,0.6487630939019828,0.5225225225225225,0.5367965367965368,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.648763093901983,0.5225225225225225,0.5367965367965368,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,45
macro,1,0.7350706135428359,0.5495495495495496,0.5725361725361726,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.7350706135428359,0.5495495495495496,0.5725361725361726,BERT LLM | MLP + image encoder,fewshot_adaptation,0.05,46
macro,1,0.7360518767926175,0.5855855855855856,0.5982639655092485,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.7360518767926175,0.5855855855855856,0.5982639655092485,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,42
macro,1,0.6701396682878163,0.4954954954954955,0.5076228369131596,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.6701396682878163,0.4954954954954955,0.5076228369131596,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,43
macro,1,0.704906316248909,0.5225225225225225,0.5455864731726802,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.704906316248909,0.5225225225225225,0.5455864731726802,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,44
macro,1,0.7457779960094776,0.5675675675675675,0.5785407209211436,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.7457779960094777,0.5675675675675675,0.5785407209211436,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,45
macro,1,0.7363270046140417,0.5495495495495496,0.570511398097605,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.7363270046140417,0.5495495495495496,0.570511398097605,BERT LLM | MLP + image encoder,fewshot_adaptation,0.1,46
macro,1,0.6926206509539842,0.34234234234234234,0.35812429797392203,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6926206509539842,0.34234234234234234,0.35812429797392203,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,42
macro,1,0.7278409090909091,0.6216216216216216,0.5962173353477702,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.7278409090909091,0.6216216216216216,0.5962173353477702,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,43
macro,1,0.5689051003865818,0.38738738738738737,0.4231369679770008,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.5689051003865818,0.38738738738738737,0.4231369679770008,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,44
macro,1,0.7561486781394189,0.6216216216216216,0.6452751452751452,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.7561486781394188,0.6216216216216216,0.6452751452751452,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,45
macro,1,0.6142754707569522,0.5045045045045045,0.5365883227725333,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.6142754707569522,0.5045045045045045,0.5365883227725333,BERT LLM | MLP + text encoder,fewshot_adaptation,0.01,46
macro,1,0.7237061977802718,0.6126126126126126,0.6346529210979339,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.7237061977802719,0.6126126126126126,0.6346529210979339,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,42
macro,1,0.7070933096396059,0.6036036036036037,0.6039016115351994,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.7070933096396059,0.6036036036036037,0.6039016115351994,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,43
macro,1,0.7603893877042025,0.5945945945945946,0.6153859115996295,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.7603893877042025,0.5945945945945946,0.6153859115996295,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,44
macro,1,0.7318158436213992,0.5855855855855856,0.6006786006786007,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.7318158436213992,0.5855855855855856,0.6006786006786007,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,45
macro,1,0.6812835141538844,0.5945945945945946,0.6107896753058043,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.6812835141538844,0.5945945945945946,0.6107896753058043,BERT LLM | MLP + text encoder,fewshot_adaptation,0.05,46
macro,1,0.7501504239930167,0.6576576576576577,0.6766557766557766,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.7501504239930167,0.6576576576576577,0.6766557766557766,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,42
macro,1,0.7839022945504427,0.6486486486486487,0.639367574612408,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.7839022945504426,0.6486486486486487,0.639367574612408,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,43
macro,1,0.790215425863574,0.7117117117117117,0.7097026142827669,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.790215425863574,0.7117117117117117,0.7097026142827669,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,44
macro,1,0.7259041027559546,0.5405405405405406,0.5450971618979225,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.7259041027559546,0.5405405405405406,0.5450971618979225,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,45
macro,1,0.7663003491707195,0.6666666666666666,0.6664530910220566,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.7663003491707195,0.6666666666666666,0.6664530910220566,BERT LLM | MLP + text encoder,fewshot_adaptation,0.1,46
macro,1,0.6545244107744108,0.2702702702702703,0.258439497363548,BERT LLM | MLP heads only,fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6545244107744108,0.2702702702702703,0.258439497363548,BERT LLM | MLP heads only,fewshot_adaptation,0.01,42
macro,1,0.7306397306397306,0.5945945945945946,0.5872790083316398,BERT LLM | MLP heads only,fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.7306397306397306,0.5945945945945946,0.5872790083316398,BERT LLM | MLP heads only,fewshot_adaptation,0.01,43
macro,1,0.577003055243796,0.45045045045045046,0.46383461669445336,BERT LLM | MLP heads only,fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.577003055243796,0.45045045045045046,0.46383461669445336,BERT LLM | MLP heads only,fewshot_adaptation,0.01,44
macro,1,0.7205722346926051,0.6126126126126126,0.627663757261238,BERT LLM | MLP heads only,fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.7205722346926051,0.6126126126126126,0.627663757261238,BERT LLM | MLP heads only,fewshot_adaptation,0.01,45
macro,1,0.6335429916448435,0.5315315315315315,0.5437636814357716,BERT LLM | MLP heads only,fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.6335429916448434,0.5315315315315315,0.5437636814357716,BERT LLM | MLP heads only,fewshot_adaptation,0.01,46
macro,1,0.7287590410275596,0.6126126126126126,0.6354169635903383,BERT LLM | MLP heads only,fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.7287590410275597,0.6126126126126126,0.6354169635903383,BERT LLM | MLP heads only,fewshot_adaptation,0.05,42
macro,1,0.7078158124454421,0.5945945945945946,0.5958021525589093,BERT LLM | MLP heads only,fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.7078158124454421,0.5945945945945946,0.5958021525589093,BERT LLM | MLP heads only,fewshot_adaptation,0.05,43
macro,1,0.7290684624017958,0.5315315315315315,0.547801116766634,BERT LLM | MLP heads only,fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.7290684624017958,0.5315315315315315,0.547801116766634,BERT LLM | MLP heads only,fewshot_adaptation,0.05,44
macro,1,0.749478582117471,0.6036036036036037,0.6128294195835179,BERT LLM | MLP heads only,fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.749478582117471,0.6036036036036037,0.6128294195835179,BERT LLM | MLP heads only,fewshot_adaptation,0.05,45
macro,1,0.717399301658561,0.6216216216216216,0.6251001178988376,BERT LLM | MLP heads only,fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.7173993016585611,0.6216216216216216,0.6251001178988376,BERT LLM | MLP heads only,fewshot_adaptation,0.05,46
macro,1,0.74987607557052,0.6216216216216216,0.6338481338481339,BERT LLM | MLP heads only,fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.7498760755705199,0.6216216216216216,0.6338481338481339,BERT LLM | MLP heads only,fewshot_adaptation,0.1,42
macro,1,0.8050824604065344,0.6936936936936937,0.6731380316486699,BERT LLM | MLP heads only,fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.8050824604065344,0.6936936936936937,0.6731380316486699,BERT LLM | MLP heads only,fewshot_adaptation,0.1,43
macro,1,0.8042251215862327,0.7117117117117117,0.7112332517737923,BERT LLM | MLP heads only,fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.8042251215862327,0.7117117117117117,0.7112332517737923,BERT LLM | MLP heads only,fewshot_adaptation,0.1,44
macro,1,0.7743125701459035,0.6396396396396397,0.6337970265131301,BERT LLM | MLP heads only,fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.7743125701459035,0.6396396396396397,0.6337970265131301,BERT LLM | MLP heads only,fewshot_adaptation,0.1,45
macro,1,0.7577924304776156,0.6936936936936937,0.6961561505618883,BERT LLM | MLP heads only,fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.7577924304776155,0.6936936936936937,0.6961561505618883,BERT LLM | MLP heads only,fewshot_adaptation,0.1,46
macro,1,0.6475324229953859,0.38738738738738737,0.437928590729949,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.6475324229953859,0.38738738738738737,0.437928590729949,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,42
macro,1,0.6947211310637235,0.5405405405405406,0.5282987729108418,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.6947211310637235,0.5405405405405406,0.5282987729108418,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,43
macro,1,0.4545626013218606,0.4144144144144144,0.39594560182795474,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.4545626013218606,0.4144144144144144,0.39594560182795474,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,44
macro,1,0.5932550816810077,0.3783783783783784,0.4290934290934291,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.5932550816810077,0.3783783783783784,0.4290934290934291,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,45
macro,1,0.4636012906846241,0.2702702702702703,0.29490715205000917,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.4636012906846241,0.2702702702702703,0.29490715205000917,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.01,46
macro,1,0.6225137174211249,0.5225225225225225,0.5522958065138467,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.6225137174211249,0.5225225225225225,0.5522958065138467,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,42
macro,1,0.6560161803217359,0.5315315315315315,0.5481514250823714,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,43
weighted_by_test_n,1,0.6560161803217359,0.5315315315315315,0.5481514250823714,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,43
macro,1,0.5691038471131064,0.40540540540540543,0.4308722515619067,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,44
weighted_by_test_n,1,0.5691038471131064,0.40540540540540543,0.4308722515619067,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,44
macro,1,0.6688770420251902,0.5135135135135135,0.5219099594099593,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,45
weighted_by_test_n,1,0.6688770420251902,0.5135135135135135,0.5219099594099593,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,45
macro,1,0.6952815188926301,0.5675675675675675,0.5862773814092272,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,46
weighted_by_test_n,1,0.69528151889263,0.5675675675675675,0.5862773814092272,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.05,46
macro,1,0.6224123955605437,0.5675675675675675,0.5760441888619855,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,42
weighted_by_test_n,1,0.6224123955605436,0.5675675675675675,0.5760441888619855,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,42
macro,1,0.6949035104127695,0.5405405405405406,0.5470649016363301,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,43
weighted_by_test_n,1,0.6949035104127697,0.5405405405405406,0.5470649016363301,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,43
macro,1,0.6842919940142163,0.5765765765765766,0.5921497640064451,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,44
weighted_by_test_n,1,0.6842919940142164,0.5765765765765766,0.5921497640064451,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,44
macro,1,0.6879863449307893,0.5495495495495496,0.5625864980703691,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,45
weighted_by_test_n,1,0.6879863449307893,0.5495495495495496,0.5625864980703691,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,45
macro,1,0.745255798728021,0.6576576576576577,0.6609567755909219,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,46
weighted_by_test_n,1,0.745255798728021,0.6576576576576577,0.6609567755909219,BERT standard | MLP + image + text encoder,fewshot_adaptation,0.1,46
macro,1,0.5870573014091532,0.36936936936936937,0.419284037194485,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,42
weighted_by_test_n,1,0.5870573014091532,0.36936936936936937,0.419284037194485,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,42
macro,1,0.6614057239057239,0.5675675675675675,0.5645281645281646,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,43
weighted_by_test_n,1,0.6614057239057239,0.5675675675675675,0.5645281645281646,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,43
macro,1,0.38613839007357526,0.44144144144144143,0.4036151536151536,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,44
weighted_by_test_n,1,0.38613839007357526,0.44144144144144143,0.4036151536151536,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,44
macro,1,0.6703688115725153,0.42342342342342343,0.4573223884148255,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,45
weighted_by_test_n,1,0.6703688115725154,0.42342342342342343,0.4573223884148255,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,45
macro,1,0.4555041152263375,0.3063063063063063,0.3228134967265402,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,46
weighted_by_test_n,1,0.4555041152263375,0.3063063063063063,0.3228134967265402,BERT standard | MLP + image encoder,fewshot_adaptation,0.01,46
macro,1,0.6091571579997506,0.5585585585585585,0.5666299783946843,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,42
weighted_by_test_n,1,0.6091571579997506,0.5585585585585585,0.5666299783946843,BERT standard | MLP + image encoder,fewshot_adaptation,0.05,42
