organ,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,n_eval_mean
breast,0.01,0.5887980355566651,0.07472428394373254,0.4820512820512821,0.12497351607818287,0.4909870008666445,0.11415277443724883,117.0
breast,0.05,0.6735026024228933,0.048424830446534534,0.5709401709401709,0.048875140018789044,0.5706912490989392,0.03983280976982106,117.0
breast,0.1,0.6698868626084546,0.03344979336416494,0.5401709401709401,0.03220759603660985,0.5463426216170572,0.02707155904205811,117.0
