average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.005,0.7026521848983213,0.00927428482481901,0.4843304843304843,0.0736895564465958,0.4940872969569783,0.0813094712240859
macro,0.01,0.7132984975423163,0.020226186637434702,0.5527065527065527,0.055610317082459074,0.5541993664574566,0.04395971115342591
macro,0.02,0.7197290583830527,0.002184072444226706,0.6068376068376068,0.017094017094017103,0.587848900388063,0.008014029332091343
macro,0.05,0.7133924889703979,0.008018297732081237,0.6096866096866097,0.032358452112822074,0.5947023740709029,0.014687460649542284
macro,0.1,0.724666851705102,0.0020768311669680916,0.6381766381766382,0.02467308842690706,0.6141025018718647,0.015143033689873048
macro,0.15,0.7309630884870554,0.0035279063137532963,0.6552706552706553,0.009869235370762806,0.6259047516037848,0.004985887319299251
macro,0.2,0.7217831083915734,0.004745711484021082,0.6182336182336182,0.040391586549167594,0.5930126352596978,0.014691538847584186
macro,0.3,0.7252530399117108,0.008834212810972018,0.641025641025641,0.014803853056144222,0.621273388631991,0.02008845746489443
weighted_by_test_n,0.005,0.7026521848983213,0.00927428482481901,0.4843304843304843,0.0736895564465958,0.4940872969569783,0.0813094712240859
weighted_by_test_n,0.01,0.7132984975423163,0.02022618663743466,0.5527065527065527,0.055610317082459074,0.5541993664574566,0.04395971115342591
weighted_by_test_n,0.02,0.7197290583830527,0.0021840724442267045,0.6068376068376068,0.017094017094017103,0.587848900388063,0.008014029332091343
weighted_by_test_n,0.05,0.7133924889703979,0.008018297732081237,0.6096866096866097,0.032358452112822074,0.5947023740709029,0.014687460649542284
weighted_by_test_n,0.1,0.724666851705102,0.0020768311669680916,0.6381766381766382,0.02467308842690706,0.6141025018718647,0.015143033689873048
weighted_by_test_n,0.15,0.7309630884870554,0.003527906313753358,0.6552706552706553,0.009869235370762806,0.6259047516037848,0.004985887319299251
weighted_by_test_n,0.2,0.7217831083915734,0.004745711484021082,0.6182336182336182,0.040391586549167594,0.5930126352596978,0.014691538847584186
weighted_by_test_n,0.3,0.7252530399117108,0.008834212810972018,0.641025641025641,0.014803853056144222,0.621273388631991,0.02008845746489443
