average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.01,0.6329236600149235,0.0881415868781854,0.505982905982906,0.10281308809364496,0.49724008196892805,0.07856115667094225
macro,0.05,0.7001176065618472,0.038638902614974845,0.5777777777777777,0.08894639822733469,0.5802783442903869,0.08437468534472406
macro,0.1,0.7043084920298803,0.03496561448876259,0.5948717948717949,0.04299068834174116,0.5934978410355002,0.04251105961369545
weighted_by_test_n,0.01,0.6329236600149235,0.0881415868781854,0.505982905982906,0.10281308809364496,0.49724008196892805,0.07856115667094225
weighted_by_test_n,0.05,0.7001176065618472,0.038638902614974845,0.5777777777777777,0.08894639822733469,0.5802783442903869,0.08437468534472406
weighted_by_test_n,0.1,0.7043084920298803,0.03496561448876259,0.5948717948717949,0.04299068834174116,0.5934978410355002,0.04251105961369545
