accuracy,f1_weighted,auroc,n_eval,organ,fewshot_frac,seed,n_train
0.6239316239316239,0.6225902294867812,0.7067784663115536,117,breast,0.005,42,6
0.5299145299145299,0.5460639851320855,0.6895041225532975,117,breast,0.005,43,6
0.6495726495726496,0.6357849752586594,0.7130948884124075,117,breast,0.005,44,6
0.6581196581196581,0.6351951315297066,0.711501533298025,117,breast,0.01,42,8
0.48717948717948717,0.501111431612847,0.6934973676644223,117,breast,0.01,43,8
0.6324786324786325,0.6210984250328513,0.7026364225346383,117,breast,0.01,44,8
0.6837606837606838,0.6532658014139494,0.7157314707510899,117,breast,0.02,42,12
0.6495726495726496,0.6302562956660493,0.713772036803458,117,breast,0.02,43,12
0.5042735042735043,0.5288730225209354,0.6835225785865958,117,breast,0.02,44,12
0.6153846153846154,0.6072512451822796,0.7186812582723033,117,breast,0.05,42,29
0.6752136752136753,0.6460891305611803,0.7129651854103628,117,breast,0.05,43,29
0.6239316239316239,0.6052466342662421,0.6968445185400917,117,breast,0.05,44,29
0.6581196581196581,0.6335048599199542,0.6998540103427887,117,breast,0.1,42,56
0.6752136752136753,0.6468821999256782,0.7192637236867396,117,breast,0.1,43,56
0.6581196581196581,0.6422691491815916,0.6993847761116111,117,breast,0.1,44,56
0.5897435897435898,0.5830973249092146,0.7175100861808207,117,breast,0.15,42,83
0.6324786324786325,0.6266296643655134,0.7124057507495651,117,breast,0.15,43,83
0.5470085470085471,0.5631924659702437,0.6849262216185791,117,breast,0.15,44,83
0.6752136752136753,0.6513890038667148,0.7127912825068431,117,breast,0.2,42,110
0.6666666666666666,0.6419268239468017,0.7210863069100725,117,breast,0.2,43,110
0.6581196581196581,0.6201709772371669,0.7220979448142955,117,breast,0.2,44,110
0.6837606837606838,0.649244848078358,0.7162046848869837,117,breast,0.3,42,165
0.5726495726495726,0.5680989436331317,0.7105646199003415,117,breast,0.3,43,165
0.6666666666666666,0.6405818540433925,0.7244384889513439,117,breast,0.3,44,165
