average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.005,0.7031258257590863,0.012212182266449543,0.6011396011396012,0.06300098116095723,0.6014797299591753,0.04844279007295074
macro,0.01,0.7025451078323619,0.009002430162000113,0.5925925925925926,0.09218626602486288,0.5858016627251349,0.07368178688050518
macro,0.02,0.7043420287137145,0.018056770836599536,0.6125356125356126,0.09530329734289313,0.6041317065336447,0.06618354386238534
macro,0.05,0.7094969874075859,0.011323961258011132,0.6381766381766382,0.03235845211282208,0.6195290033365674,0.023023572374240586
macro,0.1,0.7061675033803798,0.011344085900832248,0.6638176638176638,0.009869235370762846,0.6408854030090746,0.006795172662239888
macro,0.15,0.704947352849655,0.017525633565656423,0.5897435897435898,0.042735042735042694,0.590973151748324,0.03244365918573188
macro,0.2,0.7186585114104037,0.00510628378249756,0.6666666666666666,0.008547008547008628,0.6378289350168944,0.016007367582528537
macro,0.3,0.7170692645795563,0.006977226106748791,0.641025641025641,0.05982905982905985,0.6193085485849608,0.04455984286220336
weighted_by_test_n,0.005,0.7031258257590863,0.012212182266449465,0.6011396011396012,0.06300098116095723,0.6014797299591753,0.04844279007295074
weighted_by_test_n,0.01,0.7025451078323619,0.009002430162000141,0.5925925925925926,0.09218626602486288,0.5858016627251349,0.07368178688050518
weighted_by_test_n,0.02,0.7043420287137145,0.018056770836599536,0.6125356125356126,0.09530329734289313,0.6041317065336447,0.06618354386238534
weighted_by_test_n,0.05,0.7094969874075859,0.011323961258011132,0.6381766381766382,0.03235845211282208,0.6195290033365674,0.023023572374240586
weighted_by_test_n,0.1,0.7061675033803798,0.011344085900832265,0.6638176638176638,0.009869235370762846,0.6408854030090746,0.006795172662239888
weighted_by_test_n,0.15,0.704947352849655,0.017525633565656423,0.5897435897435898,0.042735042735042694,0.590973151748324,0.03244365918573188
weighted_by_test_n,0.2,0.7186585114104037,0.00510628378249756,0.6666666666666666,0.008547008547008628,0.6378289350168944,0.016007367582528537
weighted_by_test_n,0.3,0.7170692645795563,0.006977226106748791,0.641025641025641,0.05982905982905985,0.6193085485849608,0.04455984286220336
