organ,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,n_eval_mean
breast,0.01,0.6155717437729794,0.06394184790682782,0.505982905982906,0.08184625381110504,0.5346345324171644,0.07217324298841866,117.0
breast,0.05,0.6804340085028063,0.021020385208512956,0.5350427350427351,0.04743397239491149,0.5507198512390474,0.03949535522649688,117.0
breast,0.1,0.7016402386203666,0.03521499165101871,0.5623931623931624,0.07135600500766426,0.5799452659254171,0.06117079681086336,117.0
