average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.005,0.7016055601684172,0.005566982748020399,0.6182336182336182,0.056908787337430676,0.6140762642301422,0.048695090297699875
macro,0.01,0.703736451433714,0.004424448781714116,0.6410256410256411,0.039167313632101214,0.6043199931778668,0.025202992697050827
macro,0.02,0.7132592895087807,0.0033884383164457213,0.6723646723646723,0.004934617685381415,0.6131287542968287,0.007214675379443871
macro,0.05,0.7141708162611443,0.0037999778945142434,0.6666666666666666,0.0,0.609496903292205,0.0040609272532385115
macro,0.1,0.7177615071126952,0.002932803586080577,0.6752136752136751,0.008547008547008558,0.6109539262872176,0.004392602837944286
macro,0.15,0.719353540076881,0.008359715303944762,0.6723646723646723,0.004934617685381463,0.6116379098630101,0.005151327398591263
macro,0.2,0.7281613156464785,0.015659707161862914,0.6780626780626781,0.021509499815586187,0.6169995529798445,0.016721585768437155
macro,0.3,0.7363649483653099,0.013950882870897996,0.6809116809116809,0.02150949981558614,0.6149613641233956,0.016705041452816746
weighted_by_test_n,0.005,0.7016055601684172,0.005566982748020399,0.6182336182336182,0.056908787337430676,0.6140762642301422,0.048695090297699875
weighted_by_test_n,0.01,0.703736451433714,0.004424448781714116,0.6410256410256411,0.039167313632101214,0.6043199931778668,0.025202992697050827
weighted_by_test_n,0.02,0.7132592895087807,0.0033884383164457213,0.6723646723646723,0.004934617685381415,0.6131287542968287,0.007214675379443871
weighted_by_test_n,0.05,0.7141708162611443,0.0037999778945142434,0.6666666666666666,0.0,0.609496903292205,0.0040609272532385115
weighted_by_test_n,0.1,0.7177615071126952,0.002932803586080605,0.6752136752136751,0.008547008547008558,0.6109539262872176,0.004392602837944286
weighted_by_test_n,0.15,0.719353540076881,0.008359715303944762,0.6723646723646723,0.004934617685381463,0.6116379098630101,0.005151327398591263
weighted_by_test_n,0.2,0.7281613156464785,0.015659707161862914,0.6780626780626781,0.021509499815586187,0.6169995529798445,0.016721585768437155
weighted_by_test_n,0.3,0.7363649483653099,0.013950882870897895,0.6809116809116809,0.02150949981558614,0.6149613641233956,0.016705041452816746
