average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.005,0.779794714789266,0.008376141564808547,0.603988603988604,0.05690878733743073,0.6161663462547601,0.060210208194104345
macro,0.01,0.7806771402992162,0.009561823763028486,0.6495726495726496,0.10397884667176438,0.6348275219955427,0.07821613590899584
macro,0.02,0.7789704919577275,0.011774947619889837,0.7207977207977208,0.04301899963117232,0.6861873258667752,0.026775459575493914
macro,0.05,0.7784815169100349,0.009518678821212656,0.7407407407407408,0.02150949981558615,0.6962392939593292,0.023967816018662165
macro,0.1,0.779870552277898,0.0013661851600246223,0.7492877492877493,0.017792017089454094,0.7037166704868336,0.014135503717101847
macro,0.15,0.7754915084241402,0.011748491851279961,0.7407407407407408,0.02150949981558613,0.681929763188438,0.022090047625864005
macro,0.2,0.7834747515882432,0.002954954830863939,0.7635327635327634,0.009869235370762862,0.7101395846060982,0.01677860107461777
macro,0.3,0.784252098179671,0.010851480205137602,0.7549857549857549,0.017792017089454146,0.7057145238137043,0.005798184045432702
weighted_by_test_n,0.005,0.779794714789266,0.008376141564808547,0.603988603988604,0.05690878733743073,0.6161663462547601,0.060210208194104345
weighted_by_test_n,0.01,0.7806771402992162,0.009561823763028486,0.6495726495726496,0.10397884667176438,0.6348275219955427,0.07821613590899584
weighted_by_test_n,0.02,0.7789704919577275,0.01177494761988981,0.7207977207977208,0.04301899963117232,0.6861873258667752,0.026775459575493914
weighted_by_test_n,0.05,0.7784815169100349,0.009518678821212656,0.7407407407407408,0.02150949981558615,0.6962392939593292,0.023967816018662165
weighted_by_test_n,0.1,0.779870552277898,0.0013661851600246223,0.7492877492877493,0.017792017089454094,0.7037166704868336,0.014135503717101847
weighted_by_test_n,0.15,0.7754915084241402,0.011748491851279961,0.7407407407407408,0.02150949981558613,0.681929763188438,0.022090047625864005
weighted_by_test_n,0.2,0.7834747515882432,0.002954954830863939,0.7635327635327634,0.009869235370762862,0.7101395846060982,0.01677860107461777
weighted_by_test_n,0.3,0.7842520981796711,0.010851480205137595,0.7549857549857549,0.017792017089454146,0.7057145238137043,0.005798184045432702
