organ,model,f1_weighted,auroc,accuracy
breast,OpenAI CLIP,0.7482397150476957,0.9043438669603868,0.7467532467532467
liver,MLP + image encoder,0.7742664114706025,0.8926688390974106,0.7727272727272727
thyroid,MLP + image encoder,0.7462424576767469,0.8850968453314104,0.7325581395348837
