model,paired_similarity,cross_pair_similarity
MLP + image encoder,0.6352508664131165,0.08284339308738708
MLP + text encoder,0.5601798892021179,0.0928259864449501
MLP heads only,0.4525507986545563,0.038457147777080536
BiomedCLIP,0.4320201575756073,0.36110827326774597
OpenAI CLIP,0.32941922545433044,0.32721924781799316
