model,image_to_text_R@1,image_to_text_R@5,image_to_text_R@10,text_to_image_R@1,text_to_image_R@5,text_to_image_R@10
MLP + text encoder,0.0546875,0.17708333333333334,0.2747395833333333,0.0625,0.17838541666666666,0.26953125
MLP heads only,0.048177083333333336,0.16145833333333334,0.2552083333333333,0.044270833333333336,0.17317708333333334,0.2708333333333333
MLP + image encoder,0.028645833333333332,0.13671875,0.22005208333333334,0.03125,0.12760416666666666,0.23828125
BiomedCLIP,0.00390625,0.024739583333333332,0.05078125,0.006510416666666667,0.0234375,0.055989583333333336
OpenAI CLIP,0.0,0.009114583333333334,0.020833333333333332,0.0,0.006510416666666667,0.016927083333333332
