average_type,fewshot_frac,auroc_mean,auroc_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std
macro,0.01,0.5731952762094913,0.09280302770211574,0.4786324786324786,0.13860918581390472,0.4812867144666993,0.12465423869539337
macro,0.05,0.6486771333727611,0.04478951487972128,0.5572649572649573,0.03696025352211906,0.5664089486928233,0.030260508437281338
macro,0.1,0.6965247898099634,0.012717382759274335,0.5709401709401709,0.03163547952704569,0.5749632469323853,0.02250816911005684
weighted_by_test_n,0.01,0.5731952762094913,0.09280302770211574,0.4786324786324786,0.13860918581390472,0.4812867144666993,0.12465423869539337
weighted_by_test_n,0.05,0.6486771333727611,0.04478951487972128,0.5572649572649573,0.03696025352211906,0.5664089486928233,0.030260508437281338
weighted_by_test_n,0.1,0.6965247898099634,0.012717382759274335,0.5709401709401709,0.03163547952704569,0.5749632469323853,0.02250816911005684
