accuracy,f1_weighted,auroc,n_eval,organ,fewshot_frac,seed,n_train
0.5042735042735043,0.5125267426637289,0.7205328549797213,117,breast,0.005,42,6
0.5299145299145299,0.5369200409200409,0.7024725001728517,117,breast,0.005,43,6
0.5726495726495726,0.5926173665304101,0.7083562765867567,117,breast,0.005,44,6
0.6923076923076923,0.6668777039147409,0.7101009780363695,117,breast,0.01,42,8
0.6581196581196581,0.6557393224059891,0.7097231833695016,117,breast,0.01,43,8
0.6495726495726496,0.6391812865497077,0.7112573078069963,117,breast,0.01,44,8
0.6666666666666666,0.6370918674909927,0.7165250096252174,117,breast,0.02,42,12
0.6837606837606838,0.6710359674940733,0.7116773127133578,117,breast,0.02,43,12
0.6837606837606838,0.6632450156409001,0.7094746717230022,117,breast,0.02,44,12
0.6153846153846154,0.610732189007479,0.7170151284349459,117,breast,0.05,42,29
0.6923076923076923,0.6571818613485281,0.7138515333626824,117,breast,0.05,43,29
0.6581196581196581,0.6449820788530465,0.7091497814867957,117,breast,0.05,44,29
0.6666666666666666,0.6221378073229924,0.7112766030564104,117,breast,0.1,42,56
0.6752136752136753,0.648316990089142,0.709887097213568,117,breast,0.1,43,56
0.6752136752136753,0.6424396520803182,0.707571226201461,117,breast,0.1,44,56
0.6666666666666666,0.6129257378575437,0.7136148108215528,117,breast,0.15,42,83
0.6837606837606838,0.6458936851093713,0.7020790226410214,117,breast,0.15,43,83
0.6923076923076923,0.672108992621813,0.714918180542354,117,breast,0.15,44,83
0.6666666666666666,0.6195581391233564,0.7190470243697159,117,breast,0.2,42,110
0.6666666666666666,0.6284831869737529,0.6990089423594189,117,breast,0.2,43,110
0.717948717948718,0.6646875864592536,0.7305926852653872,117,breast,0.2,44,110
0.6923076923076923,0.6465434748029184,0.7203116379801081,117,breast,0.3,42,165
0.6666666666666666,0.6247396510026342,0.7183918038811363,117,breast,0.3,43,165
0.6923076923076923,0.6563542162670704,0.7344867648529041,117,breast,0.3,44,165
